Partner,Image Url
British Airways,https://s3.amazonaws.com/card-facebook-images/logos/british-airways.jpg
Delta Air Lines,https://s3.amazonaws.com/card-facebook-images/logos/delta-airlines.png
Alitalia  ,https://s3.amazonaws.com/card-facebook-images/logos/alitalia.jpg
Etihad Airways,https://s3.amazonaws.com/card-facebook-images/logos/etihad-airways.jpg
Hilton Hotels,https://s3.amazonaws.com/card-facebook-images/logos/hilton.jpg
Starwood Hotels,https://s3.amazonaws.com/card-facebook-images/logos/starwood.jpg
Air France,https://s3.amazonaws.com/card-facebook-images/logos/airfrance.png
KLM,https://s3.amazonaws.com/card-facebook-images/logos/klm.png
Korean Air ,https://s3.amazonaws.com/card-facebook-images/logos/korean-air.png
Singapore Airlines ,https://s3.amazonaws.com/card-facebook-images/logos/singapore-airlines.png
Southwest Airlines ,https://s3.amazonaws.com/card-facebook-images/logos/southwest-airlines.png
United Airlines,https://s3.amazonaws.com/card-facebook-images/logos/united.jpg
Virgin Atlantic,https://s3.amazonaws.com/card-facebook-images/logos/virgin-atlantic.jpg
Hyatt Hotels,https://s3.amazonaws.com/card-facebook-images/logos/hyatt.jpg
IHG Hotels,https://s3.amazonaws.com/card-facebook-images/logos/IHG-rewards.png
The Ritz-Carlton,https://s3.amazonaws.com/card-facebook-images/logos/ritz-carlton.jpg
EVA Air,https://s3.amazonaws.com/card-facebook-images/logos/eva-air.png
Garuda Indonesia,https://s3.amazonaws.com/card-facebook-images/logos/garuda-indonesia.jpg
Malaysia Airlines ,https://s3.amazonaws.com/card-facebook-images/logos/malaysia.png
Qantas ,https://s3.amazonaws.com/card-facebook-images/logos/qantas.jpg
Qatar Airways ,https://s3.amazonaws.com/card-facebook-images/logos/qatar-airways.jpg
Thai Airways ,https://s3.amazonaws.com/card-facebook-images/logos/thai.png
Virgin America ,https://s3.amazonaws.com/card-facebook-images/logos/virgin-america.png
American Airlines ,https://s3.amazonaws.com/card-facebook-images/logos/american-airlines.png
Alaska Airlines,https://s3.amazonaws.com/card-facebook-images/logos/alaska-airlines.png
Frontier Airlines,https://s3.amazonaws.com/card-facebook-images/logos/frontier.png
Spirit Airlines,https://s3.amazonaws.com/card-facebook-images/logos/spirit-airlines.jpg
Hawaiian Airlines,https://s3.amazonaws.com/card-facebook-images/logos/hawaiian-airlines.jpg
JetBlue,https://s3.amazonaws.com/card-facebook-images/logos/jetblue.png
Emirates  ,https://s3.amazonaws.com/card-facebook-images/logos/emirates.jpg
Saudi Arabian Airlines,https://s3.amazonaws.com/card-facebook-images/logos/saudia.png
AirAsia,https://s3.amazonaws.com/card-facebook-images/logos/airasia.png
Air China,https://s3.amazonaws.com/card-facebook-images/logos/air-china.jpg
Asiana Airlines,https://s3.amazonaws.com/card-facebook-images/logos/asiana-airlines.png
Cathay Pacific ,https://s3.amazonaws.com/card-facebook-images/logos/cathay-pacific.png
Air New Zealand ,https://s3.amazonaws.com/card-facebook-images/logos/air-new-zealand.png
Lufthansa,https://s3.amazonaws.com/card-facebook-images/logos/lufthansa.jpg
Turkish Airlines,https://s3.amazonaws.com/card-facebook-images/logos/turkish-airlines.jpg
Air Canada ,https://s3.amazonaws.com/card-facebook-images/logos/air-cananda.png
Fiji Airways,https://s3.amazonaws.com/card-facebook-images/logos/fiji.png
Budget,https://s3.amazonaws.com/card-facebook-images/logos/budget.png
